product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,review_content
P100000,In-Ear Model 1000,Electronics|Headphones|In-Ear,₹780,"₹1,798",56.6%,4.0,"10,186","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 4.0-star experience."
P100001,Chargers Model 1001,Electronics|Mobiles&Accessories|Chargers,₹377,₹725,48.0%,4.0,"17,638",Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices.,Customers say: Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices. Overall a 4.0-star experience.
P100002,Speakers Model 1002,Electronics|HomeTheater|Speakers,"₹1,366","₹2,436",43.9%,4.3,"1,297","Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design.","Customers say: Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design. Overall a 4.3-star experience."
P100003,Cookware Model 1003,Home&Kitchen|Kitchen&Dining|Cookware,₹938,"₹2,193",57.2%,3.3,"8,804","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 3.3-star experience."
P100004,Cookware Model 1004,Home&Kitchen|Kitchen&Dining|Cookware,₹766,"₹1,189",35.5%,4.2,"2,269","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.2-star experience."
P100005,Cables Model 1005,Computers&Accessories|Accessories|Cables,₹413,₹634,34.8%,4.0,"5,545",High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors.,Customers say: High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors. Overall a 4.0-star experience.
P100006,In-Ear Model 1006,Electronics|Headphones|In-Ear,₹607,"₹1,173",48.2%,4.1,"4,212","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 4.1-star experience."
P100007,Printers Model 1007,OfficeProducts|OfficeElectronics|Printers,"₹2,871","₹9,116",68.5%,4.0,191,"Compact wireless printer with fast print speeds, mobile printing, and low running costs.","Customers say: Compact wireless printer with fast print speeds, mobile printing, and low running costs. Overall a 4.0-star experience."
P100008,In-Ear Model 1008,Electronics|Headphones|In-Ear,₹776,"₹1,491",47.9%,3.7,"11,585","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 3.7-star experience."
P100009,SmartWatches Model 1009,Electronics|WearableTech|SmartWatches,"₹2,073","₹6,501",68.1%,3.3,"5,630","Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life.","Customers say: Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life. Overall a 3.3-star experience."
